,LICENSENO,BUSINESSNAME,DBANAME,COMMENTS,LOCATIONCOMMENTS,ISSDTTM,EXPDTTM,LICSTATUS,LICCAT,LICCATDESC,OPENING,CLOSING,PATRONSOUT,CAPACITY,PRIMAPPLICANT,PHONE,STNO,STNOHI,Address,CITY,STATE,ZIP,Location,Lat,Long
13,LB-99268,"H AND M RESTAURANT, INC.",SOFIA ITALIAN STEAKHOUSE,,IN TWO ROOMS AND KITCHEN ON FIRST FLOOR; CELLAR FOR STOCK AND  TO INSTALL 2 HANDICAP RESTROOMS.  Capacity breakdown: 180 seated  29 standing.,11/13/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,1:00 AM,1:30 AM,209,"H AND M RESTAURANT, INC.",,1436.0,, VFW Pw,West Roxbury,MA,2132,"['42.2709', '-71.17183']",42.2709,-71.17183
14,LB-98841,WILLIAM E. CARTER POST #16,,NONE,REAR EXIT FACING 83 REGIS ROAD FOR EMERGENCY EXIT AND STOCK  IN WHOLE OF SAID BUILDING.  MAXIMUM CAPACITY 141. CAPACITY BREAKDOWN: 94 SEATING  39 STANDING AND 8 SEATING AT MEETING ROOM.,12/05/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBALV,Clb. All Alc. Vet.,,2:00 AM,2:30 AM,141,WILLIAM E. CARTER POST #16,,1531.0,,  Blue Hill AV,Mattapan,MA,2126,"['42.27152', '-71.09401']",42.27152,-71.09401
15,LB-99781,SPRING STREET CAFÉ CORP,SPRING STREET CAFÉ,A.) ALCOHOL SERVICE WITH FOOD ONLY.  B.) NO BAR,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR.,11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,,MIDNIGHT,12:30 AM,48,SPRING STREET CAFÉ CORP,,320.0,,  Spring ST,West Roxbury,MA,2132,"['42.27171', '-71.17211']",42.27171,-71.17211
16,LB-98788,B.P.O.E. OF THE UNITED STATES OF AMERICA INC.,BOSTON LODGE OF ELKS #10,,Rear emergency exits; in whole of said building.,11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,,2:00 AM,2:30 AM,400,B.P.O.E. OF THE UNITED STATES OF AMERICA INC.,,1.0,,  Morrell ST,West Roxbury,MA,2132,"['42.27366', '-71.1693']",42.27366,-71.1693
17,LB-99815,"AL-WADI RESTAURANT, LLC",,MIDNIGHT CLOSING HOUR: SUNDAY - THURSDAY 1:00 A.M. CLOSING HOUR: FRIDAY AND SATURDAY.,SIDE AND REAR EXITS FOR EMERGENCY AND STOCK; IN TWO ROOMS AND KITCHEN ON FIRST FLOOR  CELLAR FOR STOCK.,12/02/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,,MIDNIGHT,12:30 AM,95,"AL-WADI RESTAURANT, LLC",,1249.0,,  VFW PW,West Roxbury,MA,2132,"['42.27724', '-71.17261']",42.27724,-71.17261
18,LB-99515,"BIC BURGERS SPRING STREET, LLC",BURGER FI,1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,ON ONE FLOOR  IN THE SHAW'S SHOPPING CENTER AT 77 SPRING STREET  WEST ROXBURY; MAIN ENTRANCE/EXIT IN FRONT OF RESTAURANT; DINING ROOM IN FRONT;  KITCHEN  RESTROOMS AND EMERGENCY EXIT IN REAR;  OUTDOOR PATIO ON PRIVATE PROPERTY WITH 16 SEATS BETWEEN THE HOURS OF 11:30 A.M.-10:00 P.M. SEVEN DAYS A WEE,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,,10:00 PM,10:30 PM,103,"BIC BURGERS SPRING STREET, LLC",(631)629-4919,77.0,,  Spring ST,West Roxbury,MA,2132,"['42.277765', '-71.16403']",42.277765,-71.16403
19,LB-98831,"JOHN P. MCKEON POST #146 AMVETS, INC.",,No Restrictions on Transfer (1991),In whole of said building.,12/05/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBALV,Clb. All Alc. Vet.,,1:00 AM,1:30 AM,705,"JOHN P. MCKEON POST #146 AMVETS, INC",,4.0,,  Hill Top ST,Dorchester,MA,2124,"['42.28069', '-71.04813']",42.28069,-71.04813
20,LB-98980,"LAGRANGE LOUNGE AND RESTAURANT, INC.",CORRIB PUB & RESTAURANT,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS; FROM - 10:00 AM TO NOON. OPEN AT 9:00 A.M. ON SUNDAY FOR THE SERVICE OF FOODS ONLY.,Rear entrance for stock; in one room  kitchen  and office on the first floor; cellar for stock.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,2:00 AM,2:30 AM,250,"LAGRANGE LOUNGE AND RESTAURANT, INC.",,2022.0,2030.0,  Centre ST,West Roxbury,MA,2132,"['42.280802', '-71.157911']",42.280802,-71.157911
21,LB-99079,"THE FLORIAN ASSOCIATES, INC.",FLORIAN HALL,,In whole of said building.  CAPACITY BREAKDOWN: FUNCTION HALL - 450; LOUNGE - 239.,11/14/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,2:00 AM,2:30 AM,689,"THE FLORIAN ASSOCIATES, INC.",,55.0,,  Hallet ST,Dorchester,MA,2124,"['42.282376', '-71.047658']",42.282376,-71.047658
22,LB-98830,"BUILDING ASSOCIATION, OLD DORCHESTER POST #65",AMERICAN LEGION,No transfer of ownership  Ch 1161  Acts of l973  License originally issued l974,In whole of said building.,12/05/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBALV,Clb. All Alc. Vet.,,2:00 AM,2:30 AM,252,"BUILDING ASSOCIATION, OLD DORCHESTER POST #65",,500.0,,  Gallivan BL,Dorchester,MA,2124,"['42.28303', '-71.05628']",42.28303,-71.05628
23,LB-99031,"AMARU'S VILLA, INC.",SONNY'S ADAMS VILLAGE,OPEN AT 6:00 A.M. FOR THE SERVICE OF FOOD ONLY,TWO ROOMS AND KITCHEN ON THE FIRST FLOOR; CELLAR FOR STOCK.,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,1:00 AM,1:30 AM,147,"AMARU'S VILLA, INC.",,750.0,754.0,  Adams ST,Dorchester,MA,2122,"['42.28397', '-71.055271']",42.28397,-71.055271
24,LB-98839,"BUILDING ASSOC. ST.MARKS POST #1758 V.F.W.,INC.",,NONE,69 Bailey Street with 228 capacity at assembly  164 capacity at banquet room and 102 capacity in basement and rec. room.,12/05/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBALV,Clb. All Alc. Vet.,,MIDNIGHT,12:30 AM,228,"BUILDING ASSOC. ST.MARKS POST #1758 V.F.W.,INC.",,63.0,, Bailey St,Dorchester,MA,2124,"['42.284476', '-71.065943']",42.284476,-71.065943
25,LB-143862, ,BON APPETIT RESTAURANT,NONE,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN REAR  STORAGE IN BASEMENT .,01/20/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWN,CV7MWN - Neighborhood Restricted,,11:00 PM,11:30 PM,58,"BON APPETIT RESTAURANT, INC.",,1138.0,,  Blue Hill AV,Dorchester,MA,2124,"['42.285777', '-71.09125']",42.285777,-71.09125
26,LB-99374,SAINT DECLAN CORPORATION,EAT WITH JACK O'NEILL,Sunday opening at 9:00 A.M. for the service of food only. The Board granted the petition to serve alcohol at Sunday brunch beginning at 10 a.m.,In three rooms and kitchen on the first floor; cellar for stock  premises to include and to erect therein a waitress station and service bar (NO STOOLS OR SEATS AT SAID BAR).,11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,1:00 AM,1:30 AM,249,SAINT DECLAN CORPORATION,,1883.0,1889.0,  Centre ST,West Roxbury,MA,2132,"['42.28595', '-71.15582']",42.28595,-71.15582
27,LB-99873,STRONGBOX CORP.,ROX DINER,NONE,A STOREFRONT RESTAURANT WITH PUBLIC FRONT ENTRY AND SERVICE REAR ENTRY AND A TOTAL OF 35 SEATS AND WITH KITCHEN AND STORAGE TO THE REAR OF THE RESTAURANT SEATING AREA.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWR,CV7 Malt Wine Restrict.,,10:00 PM,10:30 PM,35,STRONGBOX CORP.,,1881.0,,  Centre ST,West Roxbury,MA,2132,"['42.286043', '-71.155668']",42.286043,-71.155668
28,LB-99245,"ASHMONT GRILL, LLC",ASHMONT GRILL,1.) ALCOHOL SERVICE ON THE PATIO TO COMMENCE AT NOON. 2.)ALCOHOLIC BEVERAGES CAN BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS FROM: 11:00 AM - NOON.,TWO REAR EXITS TO YARD; IN ONE ROOM AND KITCHEN ON FIRST FLOOR; CELLAR FOR STOCK AND TO INCLUDE OUTDOOR SEASONAL GARDEN DINING FROM APRIL THROUGH OCTOBER FOR 60 PATRONS ON PRIVATE PROPERTY BETWEEN THE HOURS OF 7:00 A.M. - 11:00 P.M.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,1:00 AM,1:30 AM,120,"ASHMONT GRILL, LLC",,555.0,,  Talbot AV,Dorchester,MA,2124,"['42.286091', '-71.064728']",42.286091,-71.064728
29,LB-99219,"UNITY SPORTS & CULTURAL CLUB, INC.",UNITY SPORTS,CAPACITY AS FOLLOWS 248 PERSONS BANQUET  498 PERSONS STANDING ONLY  107 PERSONS IN LOUNGE AREA.,In three rooms  (members lounge  recreation lounge and main ballroom) Kitchen and storage on first floor.,11/25/2013 12:00:00 AM,12/31/2015 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,2:00 AM,2:30 AM,605,"UNITY SPORTS & CULTURAL CLUB, INC.",,10.0,,  Dunbar AV,Dorchester,MA,2124,"['42.28625', '-71.07182']",42.28625,-71.07182
30,LB-98803,SGT.GUIDO PETRILLI MIXED LODGE,POST #1606 SON OF ITALY,NONE,In one large room and kitchen on the first floor.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,,1:00 AM,1:30 AM,99,SGT.GUIDO PETRILLI MIXED LODGE,,30.0,,  Birch ST,Roslindale,MA,2131,"['42.2863', '-71.13052']",42.2863,-71.13052
31,LB-99666,"1844, INC.",COMELLA'S,1.) ALCOHOL TO BE SERVED ONLY TO PATRONS DINING IN THE PREMISES.  2.) NO ALCOHOL TO BE SERVED TO PATRONS WAITING FOR TAKE-OUT.  3.) WAIT SERVICE TO BE PROVIDED AT TABLES  4.) NO BAR,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN THE BASEMENT.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,,9:00 PM,9:30 PM,26,"1844, INC.",,1844.0,,  Centre ST,West Roxbury,MA,2132,"['42.28632', '-71.154101']",42.28632,-71.154101
32,LB-99334,"KAY OASIS ENTERPRISES, INC.",KAY'S OASIS,Capacity restrictions: configuration w/tables and chairs  maximum capacity is 300; configuration for nightclub  maximum capacity is 500.,IN ONE ROOM FIRST FLOOR WITH MEZZANINE AND KITCHEN - STORAGE IN THE BASEMENT.,11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,2:00 AM,2:30 AM,500,"KAY OASIS ENTERPRISES, INC.",,1117.0,1125.0,  Blue Hill AV,Dorchester,MA,2124,"['42.28635', '-71.09111']",42.28635,-71.09111
33,LB-99800,"AMPHITRYON RESTAURANT GROUP, LLC",,NONE,IN ONE ROOM ON THE FIRST FLOOR/TAKE-OUT IN CENTER AND DINING AREA TO THE RIGHT  WITH STORAGE AND OFFICE SPACE IN BASEMENT.  ENTRANCE IN FRONT AND TWO EXITS TO THE RIGHT OF THE DINING ROOM.  ALSO ONE EXIT ON THE LEFT FROM THE KITCHEN.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,,12:00 AM,12:30 AM,16,"AMPHITRYON RESTAURANT GROUP, LLC",(617)325-8686,153.0,155.0,  Belgrade AV,Roslindale,MA,2131,"['42.286425', '-71.136969']",42.286425,-71.136969
34,LB-98836,"BOSTON METROPOLITAN POST NO. 1 AMVETS, INC.",,No Transfer of ownership  Ch 1161  Acts of l973  License originally issued 1985,BOSTON METROPOLITAN POST NO. 1 AMVETS  INC. - IN ONE ROOM FIRST FLOOR  ONE ROOM BASEMENT  STORAGE IN BASEMENT. CAPACITY BREAKDOWN: 1st FL - 70; BASEMENT - 29.,12/05/2013 12:00:00 AM,12/31/2015 12:00:00 AM,Active,CLBALV,Clb. All Alc. Vet.,,1:00 AM,1:30 AM,99,"BOSTON METROPOLITAN POST NO. 1 AMVETS, INC.",,119.0,,  Belgrade AV,Roslindale,MA,2131,"['42.28652', '-71.13522']",42.28652,-71.13522
35,LB-99136,"AC NEP, LLC",DORSET HALL,NONE,In two levels with one room on each level;  kitchen and storage in basement.,11/14/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,2:00 AM,2:30 AM,264,"AC NEP,  LLC",(617)592-5323,367.0,371.0,  Neponset AV,Dorchester,MA,2122,"['42.2867', '-71.04513']",42.2867,-71.04513
36,LB-99615,COLUMBUS MANAGING CORP.,DELPHINO'S RESTAURANT,1. NO BAR  2. Malt and Wine to be served only in conjunction with meals.,IN ONE ROOM ON THE FIRST FLOOR  KITCHEN IN THE REAR WITH STORAGE IN THE BASEMENT.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,,11:00 PM,11:30 PM,49,COLUMBUS MANAGING CORP.,,754.0,,  South ST,Roslindale,MA,2131,"['42.28702', '-71.12948']",42.28702,-71.12948
37,LB-134971,"South Street Group, Inc.",Derna's,NONE,In two rooms on first floor  with a bar with 12 seats  kitchen in rear. Food prep & storage in basement. Also to include an outdoor patio on private property with seating for 48 between the hours of 6:00 a.m. - 1:00 a.m.,02/20/2015 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7ALN,CV7ALN - Neighborhood Restricted,,1:00 a.m.,1:30 a.m.,0,"South Street Group, Inc.",(617)325-5100,753.0,,  South ST,Roslindale,MA,2131,"['42.287196', '-71.129241']",42.287196,-71.129241
38,LB-98794,KNIGHTS OF COLUMBUS BUILDING ASSO.OF ROSLINDALE,,NONE,In whole of said building.  Capacity breakdown: 1st fl - 276; 2nd fl - 159.,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,,2:00 AM,2:30 AM,435,KNIGHTS OF COLUMBUS BUILDING ASSO.OF ROSLINDALE,,4192.0,,  Washington ST,Roslindale,MA,2131,"['42.28727', '-71.12699']",42.28727,-71.12699
39,LB-99286,ALASTY CORP.,NAPPER TANDYS,ALCOHOLIC BEVERAGES TO BE SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.,4187 4189 4191 and 4195 Washington Street - Three rooms  kitchen and storage  first floor; Cellar for stock - with entrance at 4195 Washington Street.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,2:00 AM,2:30 AM,96,ALASTY CORP.,,4187.0,4195.0,  Washington ST,Roslindale,MA,2131,"['42.287388', '-71.127396']",42.287388,-71.127396
40,LB-99851,SAGARMATHA CORPORATION,HIMALAYAN BISTRO,1.) NO BAR  2.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN THE BASEMENT.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWR,CV7 Malt Wine Restrict.,,11:00 PM,11:30 PM,49,SAGARMATHA CORPORATION,,1735.0,1739.0,  Centre ST,West Roxbury,MA,2132,"['42.287467', '-71.149812']",42.287467,-71.149812
41,LB-98809,"PORT NORFOLK YACHT CLUB,INC.",,PATIO CONDITIONS: A.) 10:30 LAST CALL  - ALL PATRONS OFF PATIO BY 11:00 P.M.  B.) MEMBERS AND GUESTS,179-181 WALNUT STREET  IN WHOLE OF SAID DINING ROOM  KITCHEN ON FIRST FLOOR AND IN WHOLE OF LOCATION ON 2ND FLOOR.  AND TO INCLUDE AN OUTDOOR PATIO ON PRIVATE PROPERTY FOR 25 PATRONS.120 SEATED @ FUNCTION HALL  2'ND FLOOR 27 SEATED.,11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,,2:00 AM,2:30 AM,120,"PORT NORFOLK YACHT CLUB,INC.",,179.0,181.0, Walnut St,Dorchester,MA,2122,"['42.291391', '-71.039024']",42.291391,-71.039024
42,LB-99138,PHYLLIS CORPORATION,VENEZIA,,In two rooms on first floor; kitchen & storage in the rear;   one room on the second floor with seasonal outdoor seating patio.  Capacity breakdown: 1st fl function rm - 348; 1st fl restaurant - 250; 1st fl lounge - 49;outdoor patio - 49.,11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,2:00 AM,2:30 AM,647,PHYLLIS CORPORATION,,20.0,,  Ericsson ST,Dorchester,MA,2122,"['42.29175', '-71.04032']",42.29175,-71.04032
43,LB-99562,"GUIRA & TAMBORA, LLC",GUIRA & TAMBORA RESTAURANT,A.) NO BAR  B.) ALCOHOL WITH FOOD ONLY.  PATIO CONDITIONS: 1.) ALCOHOL SERVICE ONLY IN CONJUNCTION WITH MEALS.  2.) 10:00 P.M. CLOSING  3.) TO BE STAFFED AT ALL TIMES.,ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN THE BASEMENT.  AND TO INCLUDE AN OUTDOOR SEASONAL PATIO ON PRIVATE PROPERTY FOR 28 PATRONS FROM APRIL - OCTOBER BETWEEN THE HOURS OF 10:00 A.M. - 10:00 P.M. CAPACITY 49 INSIDE 28 OUTSIDE PATIO.,11/15/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,,11:00 PM,11:30 PM,49,"GUIRA & TAMBORA, LLC",,4014.0,,  Washington ST,Roslindale,MA,2131,"['42.291827', '-71.122157']",42.291827,-71.122157
44,LB-148518,"Boston Harbor Distillery, LLC",,One room on first floor consisting of one entrance and three exits all located at 12R Ericsson Street  with Port Norfolk and Lawley Streets as crossroads. All alcohol storage is located behind the tasting area and/or displayed in the mercantile area. Monday - Wednesday Noon - 10:00 PM  Thursday - Saturday  Noon - 1:00 AM; Sunday Noon - 6:00 PM. CONDITIONS: 8 PM CLOSING HOUR FOR TOURS  TASTINGS. 11 PM CLOSING HOUR FOR PRIVATE EVENTS.,One room on first floor consisting of one entrance and three exits all located at 12R Ericsson Street  with Port Norfolk and Lawley Streets as crossroads. All alcohol storage is located behind the tasting area and/or displayed in the mercantile area. Monday - Wednesday Noon - 10:00 PM,03/16/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Active,FDPL,Farmer Distillery Pouring License,,1:00 AM,1:30 AM,0,"Boston Harbor Distillery, LLC",(617)533-7001,,,  Ericsson ST,Dorchester,MA,2122,"['42.292109', '-71.041037']",42.292109,-71.041037
45,LB-133944,"FIRST BOSTON TEN PIN, INC.",Boston Bowl,NONE,In one room on the first floor; kitchen in the rear  storage  pizza patio inside of the bowling alley  boutique area with a bar and six stools.,12/11/2014 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7ALN,CV7ALN - Neighborhood Restricted,,1:00 a.m.,1:30 a.m.,250,"First Boston Tenpin, Inc.",(617)740-1403,820.0,,  William T Morrissey BLVD,Dorchester,MA,2125,"['42.29388', '-71.04627']",42.29388,-71.04627
